link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Ionosphere,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989
https://archive.ics.uci.edu/ml/datasets/Iris,Iris,Multivariate,Classification,Real,150,4,1988
https://archive.ics.uci.edu/ml/datasets/ISOLET,ISOLET,Multivariate,Classification,Real,7797,617,1994
https://archive.ics.uci.edu/ml/datasets/Kinship,Kinship,Relational,Relational-Learning,Categorical,104,12,1990
https://archive.ics.uci.edu/ml/datasets/Labor+Relations,Labor Relations,Multivariate,"Categorical, Integer, Real","Categorical, Integer, Real",57,16,1988
https://archive.ics.uci.edu/ml/datasets/LED+Display+Domain,LED Display Domain,"Multivariate, Data-Generator",Classification,Categorical,,7,1988
https://archive.ics.uci.edu/ml/datasets/Lenses,Lenses,Multivariate,Classification,Categorical,24,4,1990
https://archive.ics.uci.edu/ml/datasets/Letter+Recognition,Letter Recognition,Multivariate,Classification,Integer,20000,16,1991
https://archive.ics.uci.edu/ml/datasets/Liver+Disorders,Liver Disorders,Multivariate,"Categorical, Integer, Real","Categorical, Integer, Real",345,7,1990
https://archive.ics.uci.edu/ml/datasets/Logic+Theorist,Logic Theorist,Domain-Theory,,,,,
https://archive.ics.uci.edu/ml/datasets/Lung+Cancer,Lung Cancer,Multivariate,Classification,Integer,32,56,1992
https://archive.ics.uci.edu/ml/datasets/Lymphography,Lymphography,Multivariate,Classification,Categorical,148,18,1988
https://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis,Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8,1990
https://archive.ics.uci.edu/ml/datasets/Meta-data,Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22,1996
https://archive.ics.uci.edu/ml/datasets/Mobile+Robots,Mobile Robots,Domain-Theory,,,,,1995
https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58,1990
https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29,Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,,
https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61,1992
https://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems,MONK's Problems,Multivariate,Classification,Categorical,432,7,1992
https://archive.ics.uci.edu/ml/datasets/Moral+Reasoner,Moral Reasoner,Domain-Theory,,,202,,1994
https://archive.ics.uci.edu/ml/datasets/Multiple+Features,Multiple Features,Multivariate,Classification,"Integer, Real",2000,649,
https://archive.ics.uci.edu/ml/datasets/Mushroom,Mushroom,Multivariate,Classification,Categorical,8124,22,1987
https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29,Musk (Version 1),Multivariate,Classification,Integer,476,168,1994
https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29,Musk (Version 2),Multivariate,Classification,Integer,6598,168,1994
https://archive.ics.uci.edu/ml/datasets/Nursery,Nursery,Multivariate,Classification,Categorical,12960,8,1997
https://archive.ics.uci.edu/ml/datasets/Othello+Domain+Theory,Othello Domain Theory,Domain-Theory,,,,,1991
https://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification,Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10,1995
https://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64,1998
https://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16,1998
https://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient,Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8,1993
https://archive.ics.uci.edu/ml/datasets/Primary+Tumor,Primary Tumor,Multivariate,Classification,Categorical,339,17,1988
https://archive.ics.uci.edu/ml/datasets/Prodigy,Prodigy,Domain-Theory,,,,,
